archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Prompt Engineer Solver,944.0,396.0,68.105,0.0,51.0,79.0,0.0,36.184,2.0,4.0,85.6,34.0,45.0,16.8,60.9,140.2,57.961,12.1,10.0,0.236,5.0,19.0,16.0,1.0,0.0,83.1,0.42180022834912034,1.0,7.0,16.359,39.0,93.0,0.486,5.0,0.274,0.19459380187266656,0.822,0.155,0.49,0.848,63.8,2623.0,302.0,344.0,0.343,1.0,3.0,655.8,29.367,0.326,0.333
Exploratory Learner,1588.0,653.0,11.0,11.0,10.0,18.0,0.0069,14.0,1.0,18.0,321.793,99.0,78.0,1.7,9.6,141.8,68.2,-2.9,1.0,0.48,23.0,4.0,2.0,6.0,27.365,43.4,0.368,3.0,2.0,0.0,17.0,36.0,0.122,0.0,0.949,0.72,0.236,0.352,0.2,0.248,29.5,3430.0,102.0,1532.0,0.122,0.141,1.0,571.7,0.0,0.26,0.249
Prompt Engineer Solver,3918.175,414.0,11.0,18.0,106.0,171.0,0.0176,5.0,0.467,7.0,14.657,47.0,52.0,1.0,32.9,190.8,146.6,24.2,2.677,0.365,30.464,16.0,13.0,0.0,0.0,64.8,0.3108459563689794,1.0,17.052,11.0,43.0,78.0,0.361,4.0,0.571,0.112,0.879,0.149,0.485,0.779,60.9,1503.0,294.0,136.0,0.499,0.5,1.0,501.0,21.0,1.0,0.643
AI-Dependent Constructor,118.0,79.0,0.0,59.0,134.0,243.0,0.4958,2.0,0.0,7.232,246.132,5.0,4.0,28.9,108.0,236.7,70.7,22.0,0.075,0.135,5.0,18.0,12.0,4.0,2.0,128.2,0.185,0.0,0.0,22.0,18.0,90.797,0.709,0.0,1.106,0.143,0.85,0.278,0.3489254062677875,0.076,10.7,1115.0,10.0,67.0,0.652,0.427,22.0,48.5,53.0,0.746,0.89
Structured Collaborator,1789.463,320.0,7.0,17.0,17.0,38.0,0.0203,8.0,4.201,24.663,66.5,31.0,26.0,17.8,59.0,180.5,58.7,34.191,10.0,0.125,6.0,24.0,8.0,1.0,1.0,54.7,0.108,0.0,6.0,10.0,21.0,89.667,0.445,4.0,0.363,0.132,0.802,0.391,0.549,0.769,56.6,2768.0,271.0,279.0,0.484,0.575,1.0,1.0,12.0,0.406,0.414
Independent Solver,1179.0,382.0,36.962,17.0,10.0,15.0,0.0144,16.0,2.0,10.0,80.6,31.0,32.0,5.1,25.1,276.935,115.4,-9.6,10.0,0.332,14.0,34.212,4.0,56.925,4.0,59.8,0.471,4.0,3.0,3.0,12.0,26.0,0.075,0.0,0.352,0.866,0.5171428672229803,0.353,0.316,0.345,10.5,2757.0,65.0,3340.605,0.008,0.136,4.0,551.4,7.0,1.0,0.281
Structured Collaborator,3448.574,311.0,21.0,30.0,73.0,116.0,0.0365,0.0,0.0,4.067,78.9,43.0,28.0,19.5,109.0,152.1,38.1,11.2,1.876,0.218,1.0,15.0,5.0,3.0,0.0,37.5,0.18,0.0,9.0,14.0,6.384,6.0,0.532,4.0,0.515,0.161,1.0,0.277,0.603,0.719,249.033,2877.0,328.0,197.0,1.0,0.562,2.0,959.0,26.0,0.315,0.306
Iterative Debugger,1466.0,541.0,9.0,1.0,0.0,0.0,0.002807228829131013,18.0,10.096,30.0,257.503,217.864,103.305,2.0,5.2,138.6,50.0,6.6,10.0,0.417,78.236,3.0,0.0,10.0,8.0,3.49,0.557,4.0,3.0,1.0,13.042,20.267,0.161,0.0,0.837,0.83,0.103,0.73,0.15,0.319,101.209,3321.0,693.807,1385.0,0.054,0.041,10.0,1.0,1.0,1.0,0.355
Iterative Debugger,1778.0,738.0,12.0,7.0,34.0,162.782,0.0039,16.0,5.0,33.0,98.4,55.0,60.0,13.1,56.3,122.0,145.155,10.3,1.0,0.366,44.0,7.0,2.0,6.0,13.0,3.8,0.324,4.0,1.263,0.0,5.0,10.0,0.694,0.0,0.709,0.505,1.0,0.503,0.253,0.208,19.3,4364.0,81.0,1518.0,0.059,0.332,25.0,167.8,0.0,0.5981544130524798,0.287
Independent Solver,1632.0,616.0,6.0,0.0,33.0,86.0,0.0,21.0,6.0,16.0,87.2,72.0,37.768,0.6,2.8,137.6,394.149,-2.7,10.0,0.556,12.0,1.0,0.0,13.0,6.0,2.4,0.7881136107252982,3.0,0.0,5.506,25.0,65.0,0.149,0.0,0.302,0.505,0.441,0.355,0.336,0.487,36.1,3806.0,365.638,1415.0,0.076,0.304,7.0,475.8,3.0,0.119,0.45098617751132264
AI-Dependent Constructor,10.0,0.0,13.0,40.0,115.0,165.0,3.6364,28.71,2.0,9.607,9.6,5.0,27.447,27.7,110.8,1250.0,797.7,37.9,0.011,0.286,1.202,28.0,22.0,0.0,0.0,88.9,0.138,0.0,0.0,42.893,31.0,50.0,0.439,2.0,0.217,0.2,0.731,0.176,0.848,0.038,18.4,1.0,40.0,188.0,0.819,0.346,11.0,107.9,45.0,0.557,0.602
Exploratory Learner,1192.0,538.0,0.0,21.0,6.0,11.0,0.0176,27.0,10.0,12.0,79.9,40.0,58.0,2.0,6.7,150.2,75.6,1.7,10.0,0.297,15.0,1.0,0.0,11.173,6.0,-15.9,0.564,2.0,5.0,0.0,11.0,32.0,0.151,0.0,0.881,0.42553975344638506,0.6619507705173135,0.201,0.08,0.238,18.8,3456.0,94.0,1567.0,0.012,0.276,12.0,1.0,0.0,0.4519946295141636,0.202
Iterative Debugger,1268.0,485.0,3.0,0.0,0.0,0.0,0.0,20.0,6.0,39.0,89.8,74.0,72.0,10.5,213.721,133.6,48.9,6.5,10.0,0.765,34.0,7.0,1.0,7.0,11.0,72.7,0.674,4.0,1.0,8.0,5.0,9.0,0.06,0.0,0.222,0.74,0.17,1.0,0.353,0.265,23.9,3569.0,132.0,1541.0,0.118,0.38725425155603,11.0,297.4,15.0,0.265,0.279
Structured Collaborator,815.0,354.0,8.0,25.0,460.315,142.0,0.0306,14.0,3.485,10.0,68.3,29.0,21.0,9.0,33.9,175.7,52.4,16.9,1.752,0.737,9.0,17.0,8.0,1.0,3.0,-2.5,0.176,0.0,10.0,8.0,36.0,100.0,0.59,5.0,0.219,0.12,0.876,0.156,0.5367527787444856,0.762,55.9,2752.0,286.0,278.0,0.351,0.251,1.0,1.0,14.0,0.374,0.353
Structured Collaborator,3087.48,527.0,13.0,0.0,49.0,88.0,0.0,4.0,0.0,11.0,70.0,249.166,37.358,10.4,28.2,171.4,116.3,13.3,10.0,0.303,13.0,79.17,5.0,1.0,2.0,68.6,0.199,0.0,11.0,21.008,15.0,23.477,0.46,5.0,0.262,0.26,0.707,0.319,0.594,0.726,72.0,1.0,310.0,328.0,0.318,0.477,1.0,1406.5,17.0,0.465,0.447
Structured Collaborator,625.0,191.0,14.0,118.806,22.376,11.0,0.0639,0.0,0.0,4.0,41.4,21.0,22.0,15.4,32.4,289.9,119.7,8.5,10.0,0.334,4.0,23.0,13.0,0.0,1.0,58.7,0.123,1.0,27.588,40.888,38.0,80.0,0.253,6.787,0.494,0.39892940536928745,0.837,0.382,0.597,0.652,51.1,2675.0,325.0,512.0,0.422,0.409,3.0,1.0,14.0,0.307,0.351
Structured Collaborator,418.0,299.781,10.0,13.0,35.0,76.0,0.031,0.0,0.0,12.0,41.7,24.0,55.343,12.4,35.4,287.8,412.807,16.544,1.0,0.22,33.425,24.0,20.0,3.0,1.0,91.1,0.149,0.0,10.0,12.0,26.0,33.0,0.364,5.0,0.302,0.144,0.842,0.358,0.577,0.75,48.7,3003.0,323.0,378.0,0.394,0.364,1.0,1501.5,29.0,0.494,0.58
Prompt Engineer Solver,914.0,324.0,17.0,137.115,60.0,430.221,0.0393,0.0,0.0,10.0,71.5,203.803,38.0,7.8,40.0,167.8,125.1,9.9,2.115,0.211,13.0,13.0,3.0,0.0,3.0,39.2,0.098,0.0,10.0,12.0,67.0,183.0,0.357,4.0,0.476,0.4918819970255826,0.643,0.859845365387645,0.642,0.75,61.6,3585.0,289.0,188.886,0.541,0.545,1.0,1792.5,29.0,0.399,0.425
AI-Dependent Constructor,2247.184,244.264,0.0,58.0,148.0,503.712,0.1139,4.321,1.0,9.0,23.7,20.0,13.0,1.0,71.4,506.3,320.1,62.714,0.296,0.253,11.0,25.0,19.0,1.0,4.0,114.4,0.104,1.0,2.0,26.0,17.0,47.0,0.607,2.0,0.308,0.08282212857091391,0.756,0.189,0.945,0.08,-0.677,1.0,30.0,33.0,1.0,0.348,8.0,1.0,42.0,1.0,0.64
AI-Dependent Constructor,353.0,25.0,0.0,68.0,100.0,614.938,0.1921,3.0,0.0,8.0,5.0,8.0,7.0,23.9,53.0,11871.443,1950.356,40.0,0.26,0.226,7.0,21.0,6.0,4.0,1.0,93.0,0.189,0.0,0.0,24.0,5.0,9.0,0.718,2.0,0.244,0.107,0.794,0.17,0.881,0.015,22.5,1020.0,10.0,10.0,0.803,0.404,41.0,24.3,55.0,0.503,0.559
Iterative Debugger,1574.0,548.0,6.0,0.0,0.0,0.0,0.0,17.0,3.0,30.0,73.2,75.0,42.0,6.2,30.656,260.117,148.328,-7.6,10.0,0.889,42.0,11.255,0.967,12.0,4.0,-1.1,0.428,2.0,2.0,0.0,13.0,18.0,0.011,0.0,0.418,0.531,0.373,1.0,0.153,0.458,32.6,3503.0,120.518,1467.0,0.2601800299716815,0.467,13.0,250.2,0.0,0.278,0.245
Prompt Engineer Solver,1233.0,582.733,44.125,33.0,64.0,86.0,0.0267,0.0,0.0,2.0,58.6,56.0,81.0,11.3,24.5,828.315,67.08,18.3,2.918,0.218,2.0,21.0,5.0,0.0,1.0,71.3,0.101,0.0,7.0,13.0,71.0,94.0,0.448,2.182,2.017,0.315676667192748,0.814,0.279,0.489,0.844,50.3,2575.0,281.0,797.51,0.39,0.457,0.965019901400714,643.8,27.0,1.0,0.462
Prompt Engineer Solver,690.0,268.0,8.0,25.0,38.0,55.0,0.0362,4.0,0.0,4.0,56.8,38.0,30.0,13.6,75.3,794.448,112.5,28.2,3.628,0.26,3.0,15.0,40.645,0.0,1.0,64.0,0.057,0.0,9.0,6.0,67.0,191.0,0.317,3.0,0.585,0.8044199694790342,0.762,0.205,0.511,0.873,75.1,2859.0,283.0,406.0,0.43,0.539,2.0,1.0,13.0,0.582,0.611
Iterative Debugger,1462.0,556.0,2.0,24.0,0.0,0.0,0.0164,26.0,4.0,36.0,109.3,72.0,57.0,1.0,12.6,109.8,53.395,16.3,10.0,0.629,52.0,3.929,0.0,8.536,13.0,-0.3,0.479,4.0,1.0,0.0,19.0,41.0,0.146,0.0,0.44,0.793,0.13,0.8474525395591886,0.128,0.372,42.5,3066.0,109.0,1422.0,0.163,0.299,7.0,1.0,0.0,0.271,0.254
Independent Solver,1594.0,729.0,0.0,10.0,33.0,90.0,0.0063,10.0,3.0,17.0,83.7,48.0,177.574,-3.4,-7.5,143.4,91.2,4.5,10.0,0.484,17.0,14.0,8.0,13.0,3.0,49.2,0.688,2.0,2.0,2.0,15.0,23.0,0.245,1.0,1.649,0.696,0.251,0.2,0.351,0.134,35.5,1.0,321.14,1422.0,0.088,0.6373629702919323,4.0,496.0,0.773,0.287,0.336
Iterative Debugger,1993.0,815.0,0.0,4.0,15.0,157.702,0.002,10.337,3.0,24.0,75.6,118.0,71.0,2.6,7.2,158.7,79.8,8.1,10.0,0.661,20.0,1.0,0.0,10.0,3.0,18.4,0.638,3.0,0.0,0.0,9.0,20.0,0.045,0.0,0.326,0.543,0.42,0.44,1.0,0.43,32.8,4006.0,275.417,1599.0,0.126,0.228,1.0,286.1,0.0,0.156,0.145
Independent Solver,1268.0,445.0,5.0,16.0,0.0,0.0,0.0126,20.0,7.0,20.0,60.5,74.0,87.0,5.6,14.0,198.3,108.9,8.7,10.0,0.66,21.0,6.0,17.797,7.394,8.0,12.1,1.0,3.0,2.0,2.0,5.0,7.0,0.205,0.0,0.29,0.747,0.249,0.198,0.362,0.341,26.1,2577.0,637.107,1430.0,0.17529288379433766,0.283,1.0,1288.5,2.0,0.189,0.8907481060523639
AI-Dependent Constructor,10.0,121.0,4.0,52.0,406.073,482.0,4.7273,0.0,0.0,7.0,16.2,5.0,2.0,17.5,147.633,740.7,585.0,28.8,0.005,0.293,9.0,19.0,14.0,0.471,2.0,86.0,0.192,0.0,0.0,21.0,47.242,12.298,0.842,2.0,0.291,0.112,1.0,0.242,1.0,0.025,-1.6,600.0,33.0,22.195,0.865,0.261,5.0,1.0,43.0,0.626,0.676
AI-Dependent Constructor,276.0,74.0,11.0,53.0,146.0,733.518,0.1913,10.0,2.0,1.0,24.5,9.0,8.0,23.8,126.3,489.8,261.9,37.6,0.178,0.361,1.0,12.0,6.0,2.0,0.0,71.0,0.069,0.0,0.99,22.0,5.0,7.0,0.684,1.0,0.337,0.298,0.653,0.154,0.783,0.09,28.1,1062.0,150.511,10.0,0.1715674822929567,0.274,1.0,265.5,27.0,0.732,1.0
Prompt Engineer Solver,1185.0,352.0,3.0,15.0,92.0,263.0,0.0126,0.0,0.0,1.0,68.6,53.0,205.806,13.2,204.574,174.9,64.3,6.3,4.29,0.221,1.0,20.0,15.672,0.0,0.0,54.9,0.089,0.0,8.0,11.0,58.0,129.0,0.443,5.0,0.206,0.152,0.803,0.3136117771222996,0.656,0.82,79.9,3612.0,264.0,266.0,0.593,0.541,4.0,722.4,21.0,0.368,0.374
Structured Collaborator,331.0,73.0,22.0,16.0,103.0,230.0,0.0482,4.0,0.0,2.0,70.5,16.0,16.0,12.8,48.4,170.2,132.8,32.6,1.004,0.271,2.0,20.0,16.0,0.0,0.0,28.3,0.064,1.0,5.0,9.0,16.0,47.0,1.062,5.0,1.742,0.189,0.779,0.258,0.571,3.966,69.4,2339.0,252.0,177.0,0.395,0.396,2.0,779.7,13.0,0.393,0.468
Structured Collaborator,1033.0,357.0,4.449,75.743,67.0,88.0,0.0338,1.0,0.0,1.0,70.2,28.0,14.0,1.0,32.4,170.9,47.9,86.794,2.202,1.497,1.0,17.0,16.597,0.0,0.0,37.4,0.086,0.0,9.0,7.0,10.0,73.725,0.757,5.0,1.363,0.26,1.0,0.12,0.593,2.451,298.338,2001.0,314.0,338.0,0.553,0.344,2.0,667.0,14.089,0.318,0.344
Blind Copier,2315.361,130.0,7.0,65.0,343.0,2306.0,0.338084125214811,0.0,0.0,12.0,40.4,18.0,21.986,1.0,80.4,297.0,91.8,22.3,0.118,0.833,52.397,19.0,5.0,0.0,6.0,409.596,0.066,0.0,3.0,14.595,15.0,35.0,0.928,1.0,0.459,0.192,0.755,0.08134563034893484,1.07,0.03,8.8,878.0,58.872,10.0,0.64,0.477,8.0,1.0,36.0,0.7690104449954035,0.456
Structured Collaborator,972.0,381.0,20.0,8.994,41.0,103.0,0.0236,6.0,1.0,3.069,78.3,24.0,18.0,13.6,28.5,153.3,94.7,59.931,5.148,0.318,1.0,25.0,7.0,5.0,0.0,34.2,0.104,0.0,11.0,14.0,13.0,25.0,0.394,5.0,2.041,0.162,0.785,0.12,0.594,0.892,133.079,1812.0,341.0,191.0,0.499,0.486,1.0,906.0,22.0,0.338,0.359
Prompt Engineer Solver,559.0,783.085,19.0,25.0,46.0,124.0,0.0446,0.0,0.0,6.0,36.3,13.155,16.0,10.9,36.7,330.6,174.5,92.43,2.428,0.127,7.0,14.0,4.0,3.0,1.0,47.5,0.176,0.0,12.0,12.0,48.0,466.966,0.267,5.0,0.432,0.248,0.684,0.162,0.74,0.706,68.5,2867.0,303.0,338.0,0.355,0.242,4.0,573.4,23.0,0.7631223788429556,0.54
Independent Solver,1081.0,1594.903,0.0,7.0,0.0,0.0,0.0065,25.223,5.0,16.0,76.3,39.0,55.0,7.0,20.5,157.3,30.953,-4.7,10.0,0.61,19.0,1.0,0.0,13.0,4.0,0.8,0.526,2.0,2.0,1.001,14.0,19.0,0.071,0.0,0.267,0.887,0.068,1.0,0.227,0.403,20.7,2463.0,102.0,1472.0,0.029,0.21543922469293722,6.0,1.0,2.0,0.128,0.109
Independent Solver,1648.0,762.0,10.0,11.452,0.0,0.0,0.0097,23.0,5.0,15.0,99.2,46.0,68.0,7.5,35.2,121.0,26.797,-18.264,10.0,0.791,19.0,7.0,1.0,8.0,7.0,15.6,0.552,4.0,0.0,0.0,20.0,57.0,0.023,0.0,0.301,0.527,0.446,0.374,0.258,0.39,30.482,1.0,163.0,1357.0,0.029,0.412,3.0,762.2,0.0,0.181,0.188
Prompt Engineer Solver,594.0,195.0,49.611,20.0,60.0,157.0,0.0336,9.0,1.0,6.448,104.223,33.0,22.317,9.8,23.1,253.7,102.8,24.3,1.0,0.394,2.0,15.0,13.0,1.0,1.0,38.2,0.058,0.0,10.0,9.0,16.521,160.0,0.478,6.0,2.166,0.135,0.829,0.291,0.7396340866251365,0.621,65.5,1831.0,299.0,315.0,0.545,0.45328168391407747,2.0,610.3,17.0,0.566,0.546
Blind Copier,10.0,107.0,0.0,50.0,342.0,2137.0,4.5455,27.587,1.0,5.0,20.4,5.0,5.0,24.9,121.3,588.2,885.084,95.969,0.003,0.263,4.0,21.0,7.0,5.0,1.0,111.9,0.112,0.0,3.0,23.0,14.0,29.0,1.095,1.0,0.232,0.299,0.653,0.246,0.828,0.195,27.5,1043.0,22.0,323.0,0.658,0.386,8.0,115.9,54.0,0.601,0.71
Structured Collaborator,1244.0,483.0,12.0,15.0,81.0,200.0,0.012,4.0,0.0,1.0,60.5,31.0,36.0,15.3,37.3,390.627,154.6,1.9,5.115,0.152,1.0,23.0,17.0,0.0,0.0,62.2,0.24147207008515154,0.0,7.0,9.0,28.0,44.0,0.513,4.0,1.49,0.147,0.851,0.364,0.505,1.888,47.3,2201.0,291.0,327.0,0.348,0.516,2.0,1.0,11.0,0.487,0.45
Iterative Debugger,7335.665,744.0,9.0,4.0,0.0,0.0,0.0021,22.0,7.0,98.882,84.4,332.995,76.0,16.9,77.4,142.2,29.9,12.5,10.0,0.776,29.0,7.0,4.0,6.295,37.508,20.5,1.0,3.0,0.0,1.0,10.0,25.0,1.293,0.0,0.459,0.569,0.23266123231537725,0.645,0.195,0.247,19.191,3822.0,125.0,2094.986,0.2243427321132176,0.402,12.0,294.0,2.0,0.2,0.196
Iterative Debugger,1617.0,613.0,6.0,0.0,50.0,81.0,0.0,17.0,6.696,38.0,70.5,43.0,26.0,6.3,15.8,170.2,77.7,11.2,10.0,0.297,49.0,3.0,1.0,10.0,19.0,20.5,0.68,1.475,0.0,4.0,9.0,18.0,0.22,1.0,0.933,1.0,0.306,0.597,0.197,0.372,37.3,3339.0,57.0,1482.0,0.021,0.119,27.0,119.2,6.0,0.134,0.132
AI-Dependent Constructor,10.0,86.0,7.0,49.0,108.0,121.65,4.4545,1.0,0.0,2.0,34.8,5.0,2.0,32.1,107.7,748.352,868.483,31.6,0.009,0.161,2.0,21.0,29.336,1.0,0.0,102.6,0.069,0.0,2.439,40.656,26.0,56.0,0.68,1.0,0.464,0.298,0.675,0.302,0.695,0.015,10.5,1795.0,10.0,9.364,1.0,0.35,65.0,1.0,39.0,0.523,0.422
Independent Solver,1514.0,541.0,16.0,2.0,18.0,39.0,0.0013,23.0,2.0,12.0,91.2,42.0,27.0,-0.2,-0.7,131.6,46.4,-3.6,10.0,0.493,13.0,1.268,4.75,14.411,4.0,71.9,0.368,5.0,0.0,0.0,5.0,7.0,0.143,0.0,0.319,0.554,0.431,0.309,0.261,0.393,21.5,2890.0,138.0,1452.0,0.042,0.036,7.0,361.2,0.0,0.284,0.301
Iterative Debugger,1640.281,525.0,0.0,3.113,0.0,0.0,0.003,14.0,4.0,141.483,69.7,51.394,35.0,8.2,22.6,840.138,72.3,10.4,10.0,1.116,40.0,2.0,1.0,13.0,18.0,-5.4,0.451,4.0,2.0,5.0,46.876,50.0,0.137,1.0,0.503,1.0,0.24,0.719,0.15417131723495509,0.416,29.3,3256.0,104.0,2314.947,0.004,0.2,9.0,1.0,10.0,0.233,0.49632870372921206
Independent Solver,2161.0,924.0,0.0,12.0,45.0,69.0,0.0056,17.0,5.0,21.0,90.5,205.848,119.054,10.3,38.4,132.6,103.4,4.6,10.0,0.471,18.0,7.0,2.0,9.0,11.0,13.5,0.93892628815945,4.0,0.0,5.0,7.0,14.0,0.245,0.0,0.377,0.65,0.6025983574306195,0.258,0.1956457286863221,0.443,33.9,1811.0,84.0,1588.0,0.06316958599491962,0.467,8.0,201.2,9.0,0.23,0.187
Structured Collaborator,765.0,1393.625,11.0,19.0,81.0,132.0,0.0248,20.0,6.0,3.0,53.2,28.0,22.0,15.7,72.3,1093.201,700.639,14.796,2.484,0.225,2.0,26.0,13.721,1.335,1.0,46.5,0.188,0.0,10.0,13.0,35.983,62.0,0.948,4.0,0.296,0.194,0.76,0.275,0.526,0.707,60.1,2195.0,314.0,398.0,0.402,0.574,3.0,548.8,19.0,0.312,1.0
AI-Dependent Constructor,687.0,69.0,5.255,33.0,144.0,367.0,0.048,0.0,0.0,1.0,24.7,20.942,35.0,28.6,80.5,485.8,351.7,103.639,1.0,0.118,1.0,15.0,8.0,0.0,0.0,87.2,0.178,0.0,0.0,23.0,5.0,14.0,0.575,1.0,0.595,0.193,0.801,0.179,0.961,0.18,2.3,1555.0,77.0,125.0,0.882,0.553,6.0,222.1,50.0,0.669,0.24310405858903683
Prompt Engineer Solver,1086.0,178.215,14.0,25.0,62.0,168.0,0.02908445590946352,1.0,0.0,1.0,49.4,28.0,19.0,1.0,10.8,242.9,115.632,28.6,3.501,0.18,1.0,9.349,13.0,2.0,0.0,65.6,0.147,0.0,24.774,3.47,60.0,51.585,1.215,4.0,0.449,0.102,0.879,0.247,1.0,0.885,47.7,1.0,1385.139,454.0,0.39,0.364,1.0,970.0,15.341,0.339,1.0
Structured Collaborator,917.0,389.0,7.0,20.0,74.0,485.566,0.0218,8.0,1.0,2.0,50.1,26.0,17.0,17.2,72.6,239.5,177.5,33.908,3.096,0.378,1.0,19.0,12.0,0.228,0.577,90.5,0.078,0.0,9.0,6.0,93.031,25.248,0.316,4.0,0.334,0.7329020814093267,0.737,0.47546686833551555,0.487,1.241,51.2,3261.0,270.0,244.0,0.473,0.262,2.0,1087.0,12.0,0.468,0.447
Iterative Debugger,1566.127,627.0,3.0,7.0,0.0,0.0,0.0039,95.079,3.0,100.582,76.1,222.292,54.0,10.1,50.5,157.7,57.3,0.3,10.0,0.271,36.0,5.0,2.0,12.0,14.0,43.2,0.9275986218088067,3.0,3.0,2.0,17.0,43.0,0.061,0.0,0.28,0.649,0.301,0.69,0.149,0.707,25.9,2581.0,159.0,1516.0,0.034,0.404,6.0,368.7,3.0,0.14638366190308666,0.232
AI-Dependent Constructor,674.0,34.0,4.0,64.0,140.0,538.952,0.0948,7.0,2.0,11.329,34.9,18.0,10.0,23.0,175.264,343.8,64.853,165.694,0.376,0.225,5.0,16.0,6.0,0.0,2.0,50.5,0.162,0.0,2.0,26.0,38.606,45.0,0.618,0.0,0.523,0.149,0.845,0.14,0.713,0.087,-3.4,1489.0,68.0,318.0,1.0,0.293,1.0,148.9,118.777,0.708,0.571
Independent Solver,1746.0,759.0,10.0,0.0,32.0,81.0,0.0,18.267,2.0,13.0,35.055,49.0,70.0,1.0,84.8,210.5,54.5,7.5,10.0,0.799,16.0,6.0,2.0,10.0,1.0,-10.0,0.416,3.0,1.0,21.085,5.0,9.0,0.351,0.0,0.289,0.873,0.093,0.148,0.337,1.844,40.8,2784.0,197.108,1499.0,0.136,0.037,1.0,253.1,8.0,0.157,0.161
Prompt Engineer Solver,1768.115,268.0,19.0,13.0,73.0,107.67,0.0183,3.0,0.0,6.0,73.7,37.0,34.0,17.0,64.8,162.8,129.2,10.38,3.737,0.116,6.0,102.872,9.0,0.0,2.0,53.2,0.133,0.0,8.0,14.0,43.0,376.328,0.31,4.0,1.482,0.111,0.878,0.166,1.0,0.739,73.6,2578.0,285.0,458.0,0.4,0.327,3.0,644.5,45.858,0.304,0.34
Iterative Debugger,1682.0,765.239,2.0,0.0,0.0,0.0,0.0,28.0,3.0,38.0,85.3,44.0,28.0,11.8,31.1,245.394,109.9,-9.1,10.0,0.749,34.0,1.0,0.0,3.0,5.0,22.1,0.308,4.0,4.0,0.0,14.0,32.0,0.075,0.0,0.357,1.0,0.37,1.0,0.231,0.351,32.1,1.0,147.0,1459.0,0.087,0.096,3.0,827.5,0.0,0.153,0.169
Independent Solver,1206.0,462.0,0.0,12.0,9.0,25.0,0.0099,7.0,2.0,9.0,78.7,60.0,139.595,-1.6,-3.5,152.5,51.6,9.3,10.0,2.336,12.0,1.0,0.0,8.0,1.0,2.553,1.0,3.0,3.0,1.0,5.0,14.0,1.07,1.0,0.216,0.661,0.2343287614923273,0.309,0.314,0.391,23.7,2588.0,88.0,1479.0,0.24654772526275825,0.238,6.0,369.7,2.0,0.2,0.185
AI-Dependent Constructor,474.302,131.0,4.0,49.0,135.0,293.0,0.3267,10.0,3.0,5.0,9.888,5.0,4.386,25.7,82.0,468.8,129.3,160.895,0.113,0.353,19.402,18.0,6.0,8.0,2.0,87.4,0.132,0.0,5.0,23.0,25.0,62.269,0.762,1.0,0.574,0.267,0.649,0.5273627046819216,0.13316581648748357,0.049,-2.2,1158.0,10.0,10.0,0.625,0.571,34.0,33.1,47.0,1.0,0.725
Exploratory Learner,5869.064,480.0,1.0,13.0,15.0,41.0,0.01,13.0,9.144,14.0,75.3,38.0,39.0,1.0,29.0,159.4,96.287,13.4,10.0,0.791,14.0,6.0,2.0,7.0,5.0,-6.7,0.634,6.0,3.45,0.0,30.0,78.0,0.147,1.0,0.745,0.873,0.089,1.0,0.082,0.206,24.369,3019.0,122.0,1604.0,0.186,0.242,1.0,377.4,0.0,0.261,0.235
Iterative Debugger,1499.0,572.0,3.0,1.0,0.0,0.0,0.0007,17.576,1.0,29.0,85.2,51.0,58.0,13.2,44.1,140.8,92.8,6.1,10.0,2.179,33.0,9.0,3.0,21.795,4.0,11.82,1.0,3.914,4.0,2.0,12.675,6.0,0.169,0.0,2.128,0.867,0.092,1.0,1.0,0.355,25.636,3434.0,145.0,1515.0,0.024,0.267,10.0,312.2,3.0,0.9289865286093634,0.162
Blind Copier,305.0,26.0,6.0,48.0,378.0,2004.0,0.1569,27.939,2.0,8.662,28.5,7.0,9.0,28.9,117.7,421.1,509.23,30.5,0.084,0.194,3.0,17.0,10.0,6.0,1.0,86.5,0.179,0.0,0.0,62.968,18.0,52.339,3.027,5.601,0.239,0.195,0.706,0.2744596842764323,0.883,0.112,-5.9,1203.0,71.0,15.0,0.831,0.291,7.0,150.4,47.0,1.0,0.614
Prompt Engineer Solver,755.0,327.0,15.0,8.0,18.582,81.0,0.0106,0.411,0.0,4.0,81.4,91.007,29.0,6.1,38.759,147.4,79.5,15.2,10.0,0.35,5.0,17.0,6.0,0.0,2.0,41.8,0.116,0.0,10.0,10.0,56.0,129.0,0.191,5.0,0.374,0.9017650636168012,0.645,0.136,0.685,0.153,279.084,1.0,348.056,257.0,0.556,0.566,1.0,1429.5,23.0,0.8133581401845096,1.0
